"FAC_CODE","FAC_NAME","FAC_DESCRIPTION","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","Cat_Ix","SCat_Ix","Date of last change","DIGEST Status","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","Equivalence_FC","Equivalence_AC","Equivalence_AV","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"AQ056","Bridge Pier","The support(s) in the form of pillar(s) or abutment(s) for the spans of a bridge.",,,,,,,,,,,"A","AQ",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"AQ058","Constriction/Expansion","A point where a passage way narrows or expands beyond its normal width.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ060","Control Tower","A tower-like structure that houses the persons and equipment used to control the flow of air, rail, or marine traffic.  (See also AL240)",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ062","US-Crossing  UK - Crossing/Level Crossing","A point where two or more line features intersect or cross at the same level about which information is required.  (See also BH070)",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ064","Causeway","A raised roadway of solid structure built primarily to provide a route across wet ground or intertidal area.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ065","Culvert ","A sewer or drain crossing under a road, track, or embankment, without affecting the construction of the crossed feature.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ068","Drop Gate/Rolling Block","A massive assemblage of material, usually in the form of concrete logs or blocks, positioned alongside or above a transportation route, ready to be activated as a potential barrier to an advancing enemy ground force, when needed.",,,,,,,,,,,"A","AQ",1998/04/02 0:00:00,0,"US",,"2.0A",,,"Approved by FACC WP Dec 1997.",,,,,,,,,,,,,
"AQ070","Ferry Crossing ","A route in a body of water where a ferry crosses from one shoreline to another.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ080","US-Ferry Site  UK-Ferry Station","A point where a ferry takes on or discharges its load.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ090","Entrance/Exit","A point of entrance or exit.  (See also AA010 and AQ130)",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ100","US-Landmark Post/Distance Post  UK-Landmark Post/Distance Post/Milestone","A marker which designates the distance from a given point, or a location.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ110","Mooring Mast ","A tower-like structure used to secure an airship.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ111","Prepared Raft or Float Bridge Site","Site on a river or canal which has a ramp, piling, and/or pier structures constructed on one or both shores to allow for suitable future crossing operations using float bridge or rafting equipment.",,,,,,,,,,,"A","AQ",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Add 'a' before 'ramp'.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"AQ113","Pipeline/Pipe","A tube for the conveyance of solids, liquids or gases.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ114","Storm Drain","A collector opening into a pipe or channel to allow the removal of excess runoff water or in some cases sewage.  In civil engineering terms, a drop inlet.",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data"," 8/24 Modified description by adding ""The opening to"".",,,,,,,,,,,,,
"AQ115","Manhole Cover","A removable cover or plate which provides access to underground utility tunnels, distribution lines, or drainage systems.",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data",,,,,,,,,,,,,,
"AQ116","Pumping Station ","A facility to move solids, liquids or gases by means of pressure or suction.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ117","Kilometer/position Marking Axis","Center line of a road, railroad or water body modeled as an area, connecting the kilometer/position marking axes.",,,,,,,,,,,"A","AQ",2000/01/21 0:00:00,7,"GE",,"WDR","Withdrawn",,,,,,,,,,,,,,,
"AQ118","US-Sharp Curve(s)  UK-Sharp Bend(s)","A curve which may cause transportation restrictions.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ119","Route Marker","An emblem used to designate a road's name or identifying number.",,,,,,,,,,,"A","AQ",1998/04/02 0:00:00,0,"US",,"2.0A",,,"Approved by FACC WP Dec 1997.",,,,,,,,,,,,,
"AQ120","Steep Grade  ","Location along any given traveled way where the percent (%) slope (ratio of change in elevation (vertical distance) to horizontal ground distance multiplied by 100) is high enough to slow, hinder, or even stop movement.",,,,,,,,,,,"A","AQ",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"AQ125","Station (Miscellaneous) ","A stopping place for the transfer of passengers and/or freight.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ130","Tunnel ","An underground or underwater passage, open at both ends, and usually containing a road or railroad.  (See also AQ090)",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ135","US-Vehicle Stopping Area/Rest Area  UK-Vehicle Stopping Area/Rest Area/Lay By","A roadside place usually having facilities for people and/or vehicles.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ140","US-Vehicle Storage/Parking Area  UK-Vehicle Storage/Parking Area/Car Park/Boat Park","An open land area used for storing or parking vehicles or vessels (including recreational vehicles).  (See also AI020 and AK060)",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ141","Parking Garage","A designated, multi-level, area (structure) used for storing or parking vehicles.  Feature may be present as part of a building or a separate structure.",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Feature cited in UVMAP Specification but not in FACC 2.1 or earlier.",,,,,,,,,,,,,,
"AQ150","Flight of Steps  ","A series of steps or stairs reaching from one level to another.",,,,,,,,,,,"A","AQ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AQ151","Arcade","A covered passageway composed of arches and pillars usually open at one or both sides.",,,,,,,,,,,"A","AQ",1999/07/09 0:00:00,0,"IT",,"2.1","Version 2.1: New Feature","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.","US: (Harbaugh): Unclear as to what type of structure this is.  Is this a building?  What's the purpose of this structure?
UK:  Agree with feature addition.  Concern with definition wording.  British definitions include “covered passageway lined with shops” and “set of arches and their supporting columns”.  Suggest FWP discuss to ensure generic enough definition.YES …..but…..
CZ:  Are the words ""... steps or stairs ..."" in the definiton necessary?  We have most Arcades without stairs.
US(Buckley):  How about changing the definition to: ""A relatively permanent covered passageway or lane, roofed, and normally consisting of a series of arches supported by columns, piers or pillars; usually open on the sides and commonly lined with shops on either side, and if multi-leveled with a series of steps or stairs reaching from one level to another""?
GE:  NO  Approved, if it is made clear what that means. The definition is not clear enough. Question to IT : Is the Rialto bridge in Venice an example for that ?
IT:   ---  Further clarification will be provided at FWP7",,,,,,,,,,,,,
"AQ152","Overhead Walkway","An elevated or suspended bridge-like structure providing pedestrian passage above the street, floor. Ground, or water level.  (See also AQ151)",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data.","8/24 Modified description from ""A suspended walkway, canopy, or roof over a pedestrian walkway, built to provide shelter or cover.  (See also AQ151)"" to ""An elevated or suspended bridge-like structure providing pedestrian passage above the street, floor. Ground, or water level.  (See also AQ151)""",,,,,,,,,,,,,
"AQ160","Traffic Lights","A set of lights placed along streets for the purpose of automatic regulation of the flow of vehicular or pedestrian traffic, especially at transportation route junctions.  Usually attached to tall poles or suspended from overhead cables.",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data","8/24 modified the description from  ""A set of lights placed along streets for the purpose of regulating the flow of vehicular or pedestrian traffic, especially at transportation route junctions.  Usually attached to tall poles or suspended from overhead cables."" to ""A set of lights placed along streets for the purpose of automatic regulation of the flow of vehicular or pedestrian traffic, especially at transportation route junctions.  Usually attached to tall poles or suspended from overhead cables.""",,,,,,,,,,,,,
"AQ161","Street Light(s)","Light(s) placed along streets for the purpose of illuminating the roadway and adjacent ground.  Usually attached to tall poles.",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 10","2.2","New Feature","Required for Urban Warfare Data","GE: First it is to be clarified what is meant to be the actual feature – the row of street lights (hence the plural?) or the individual light.
US: modified name.  Be aware, it may be used for a single light, as a complex feature consisting of several lights, or as an area feature representing multiple lights.  All are legal under DIGEST.
Discuss at 1/03 FACCWP.",,,,,,,,,,,,,
"AQ162","Street Sign","Signs placed along streets for the purpose of regulating the flow of vehicular or pedestrian traffic or providing information.",,,,,,,,,,,"A","AQ",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data",,,,,,,,,,,,,,
"AQ502","Železnicní Prejezd","N/A",,,,,,,,,,,"A","AQ",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"AQ540","Podjezd","N/A",,,,,,,,,,,"A","AQ",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"AQ630","Šachta","N/A",,,,,,,,,,,"A","AQ",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"AQ999","Objekt Na Trase","N/A",,,,,,,,,,,"A","AQ",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"ARXXX","Feature Place Holder AR","Place Holder - AR",,,,,,,,,,,"A","AR",1998/06/24 0:00:00,19,"US",,"N/A","National Feature",,,,,,,,,,,,,,,
"AT005","Cable  ","An insulated wire, or group of wires formed into one continuous strand, located underground or underwater.  (See also AT006, AT030  and AT060)",,,,,,,,,,,"A","AT",1999/05/20 0:00:00,0,"US",,"2.1","Version 2.1: Added cross reference to AT006.","Add reference to AT006 Overhead Cable","UK: YES
GE: YES  But why not one feature „cable“ differentiated with LOC ?
CZ:  Would it be sufficient having only one feature ""Cable"" and the position (underground, overhead, ...) an attribute? Instead of adding a reference mark AT006 as obsolete.
US:  (Buckley):  This change is only to add a reference to AT006, not to change this feature.  The addition of AT006 was approved in June 1997 and is required to add an overhead cable.  There was no interest expressed at the time in materially modifying this feature to remove the Underwater/Underground connotation.  We need both features to adquately map to S-57.
IT:   NO  Maybe, IT was the only nation that did not concur with the addition of the AT006 and that suggested the use of LOC035. Now we are still discussing on the opportunity to use a feature or an attribute to map a geographic entity!
IT opinion is to limit as much as possible the introduction of new redundancies, even if possible now,  to avoid confusion and unnecessary duplications.",,,,,,,,,,,,,
"AT006","Overhead Cable","An insulated wire, or group of wires formed into one continuous strand and located above ground or above water surface.  (See also AT005, AT030 and AT060)",,,,,,,,,,,"A","AT",1998/06/24 0:00:00,0,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
AT006  CA proposal.",,,,,,,,,,,,,,
"AT010","US-Disk/Dish  UK-Disk Aerial/Dish Aerial","A concave object used for transmitting or receiving electronic signals.",,,,,,,,,,,"A","AT",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AT020","Early Warning Radar Site  ","An installation utilizing long range radar to detect approaching aircraft or missiles.",,,,,,,,,,,"A","AT",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AT030","Power Transmission Line ","A system of above ground wires including their supports, which transmits electricity over distance.  (See also AT005, AT006 and AT060)",,,,,,,,,,,"A","AT",2000/08/01 0:00:00,0,"WP",,"2.1","Version 2.1: Added cross reference to AT006.",,,,,,,,,,,,,,,
"AT040","US-Power Transmission Pylon  UK-Power Transmission Pylon/Pole","A pylon or pole used to support a power transmission line.",,,,,,,,,,,"A","AT",1998/04/02 0:00:00,0,"WP",,"2.0A",,,,,,,,,,,,,,,,
"AT041","Telepheric","A construction of cables strung between elevated supports on which carrier units are suspended.",,,,,,,,,,,"A","AT",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AT045","Radar Transmitter","A device for transmitting and receiving radar emissions.",,,,,,,,,,,"A","AT",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Delete double space before 'transmitting', (US NIMA).  Add space after colon in Spanish Translation, Ruffhead Mil Survey
",,,,,,,,,,,,,,
"AT050","Communication Building","A building in which communication signals are processed or controlled.",,,,,,,,,,,"A","AT",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AT060","Telephone Line/Telegraph Line","A system of above ground wires, including their supports, which transmit electrical signals over distance.  (See also AT005, AT006, and AT030)",,,,,,,,,,,"A","AT",2000/08/07 0:00:00,0,"WP",,"2.1","Version 2.1: Added cross references to AT005, AT00","Editorial",,,,,,,,,,,,,,
"AT070","Telephone-Telegraph Pylon/Pole","A pylon or pole used to support a telephone or telegraph line.",,,,,,,,,,,"A","AT",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AT080","Communication Tower  ","A relatively tall structure used for transmitting and/or receiving electronic communication signals.  (See also AQ060)",,,,,,,,,,,"A","AT",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AT514","Antenna","Device for receiving or giving off electro-magnetic waves.",,,,,,,,,,,"A","AT",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AUXXX","Feature Place Holder AU","Place Holder - AU",,,,,,,,,,,"A","AU",1998/09/17 0:00:00,19,"US",,"N/A","National Feature","This category was mis-labeled in DIGEST 1.2 and 2.0 as AG, the index in 1.2 had it correct though.
",,,,,,,,,,,,,,
"BA010","Coastline/Shoreline","The line where a land mass is in contact with a body of water.",,,,,,,,,,,"B","BA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BA011","Coastline","A line generally following the contact between a land mass and a body of water,  based on the low water line, and used as a reference for measuring international boundaries such as Territorial Limits or Exclusive Economic Zone (EEZ).",,,,,,,,,,,"B","BA",2000/03/06 0:00:00,0,"US",,"2.1","Version 2.1: New Feature to breakout BA010","New Feature to breakout BA010 Coastline/Shoreline.",,,,,,,,,,,,,,
"BA020","Foreshore","That part of the shore or beach which lies between the low water mark and the coastline/shoreline.  The same condition may exist in non-contiguous off-shore areas.  (See also BA021, BA022, and BA023)",,,,,,,,,,,"B","BA",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Added references to new Features.
",,,,,,,,,,,,,,
"BA021","Nearshore (Precise IHO)","Area between the 10 meter depth curve and the low water line defined by either Mean Low Water Springs (MLWS) or Mean Low Low Water (MLLW) as defined by the National Authority.  (See also BA020, BA022, and BA023)",,,,,,,,,,,"B","BA",1998/04/02 0:00:00,0,"US",,"2.0A",,"Bring FACC into compliance with IHO definitions for Vertical Datums.
Approved by FACC WP Dec 1997.",,,,,,,,,,,,,,
"BA022","Backshore (Precise IHO)","Area between the normal limit of wave action above either Mean High Water Springs (MHWS) or Mean High High Water (MHHW) as defined by the National Authority and the maximum limit of wave action.  (See also BA020, BA021, and BA023)",,,,,,,,,,,"B","BA",1998/04/02 0:00:00,0,"US",,"2.0A",,"Bring FACC into compliance with IHO definitions for Vertical Datums.
Approved by FACC WP Dec 1997.",,,,,,,,,,,,,,
"BA023","Foreshore (Precise IHO)","Area between the low water line defined by Mean Low Water Springs (MLWS) or Mean Low Low Water (MLLW) as appropriate and the normal limit of wave action above Mean High Water Springs (MHWS) or Mean High High Water (MHHW) as appropriate.  (See also BA020, BA021, and BA022)",,,,,,,,,,,"B","BA",1998/04/02 0:00:00,0,"US",,"2.0A",,"Bring FACC into compliance with IHO definitions for Vertical Datums.  Also is required for terrain analysis and DTOP.
Approved by FACC WP Dec 1997.",,,,,,,,,,,,,,
"BA024","Shoreline","A line drawn along the normal limit of wave action above either Mean High Water Springs (MHWS) or Mean High High Water (MHHW) as defined by the National Authority.",,,,,,,,,,,"B","BA",2000/03/06 0:00:00,0,"US",,"2.1","Version 2.1: New Feature to breakout BA010","New Feature to breakout BA010 Coastline/Shoreline.",,,,,,,,,,,,,,
"BA025","Offshore","The comparatively flat zone of variable width which extends from the seaward margin of the foreshore to the edge of the continental shelf.",,,,,,,,,,,"B","BA",2002/04/23 0:00:00,0,"GE","FWP 08","2.2","New Feature",,,,,,,,,,,,,,,
"BA030","Island","A land mass smaller than a continent and surrounded by water.",,,,,,,,,,,"B","BA",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"BA040","Water (Except Inland)","An area of water which normally has tidal fluctuations.",,,,,,,,,,,"B","BA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BA041","Tidal Zone","An area of open water defined by the periodic rise and fall of the surface of the sea, due principally to the gravitational interaction between the moon, sun and earth.",,,,,,,,,,,"B","BA",2002/09/09 0:00:00,2,"UH",,"AML","New Feature","Requested by UK to support their development of the Additional Military Layers (AML) Products.",,,,,,,,,,,,,,
"BA050","Beach","The shore of the sea or lake, sandy or pebbly, brought up by the waves (including the foreshore area).  (See also BA020, BA021, BA022 and BA023)",,,,,,,,,,,"B","BA",1999/05/20 0:00:00,0,"US",,"2.0A","Version 2.0 Amendment 1: Added cross references","Add references to BA021-BA023.","UK:  This is already in 2.0A  YES …..but…..
US: This feature was included in the list of proposed features by error.  It is not being proposed for modification.",,,,,,,,,,,,,
"BA051","Dyke Crown","A dyke (or dike) is an artificial embankment to contain or hold back water.  The dyke crown is the topline of the dyke.  (See also DB090)",,,,,,,,,,,"B","BA",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Capitalization
",,,,,,,,,,,,,,
"BA060","Beach Zone","An area defined from the shoreline inland to a predetermined distance or to the first existence of a mode of transportation and from the shoreline seaward to a predetermined depth.",,,,,,,,,,,"B","BA",2002/04/25 9:25:00,53,"US",,"NAT","National Feature",,"DTOP (MIL-PRF-0089037 (NIMA) 25 May 1999) only Feature.",,,,,,,,,,,,,
"BB005","US-Harbor  UK-Harbour","A natural or artificial improved body of water providing protection for vessels and anchorage and docking facilities.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB006","US-Harbor Complex   UK-Harbour Complex","Complex feature with possible components:  many simple features, and complex features  BB011, BC099, BC098.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB007","Channel Edge","Complex feature with possible components: BC099, BC098.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB010","Anchorage","An area of water where vessels anchor or may anchor.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB011","Anchorage (Complex Feature)","Complex feature with possible components: BB010,  BC099, BC098.",,,,,,,,,,,"B","BB",1998/09/17 0:00:00,0,"US",,"2.0A",,"New change - add phrase ""(Complex Feature)"" to name so that the name will be different from BB010 Anchorage.  Making all names unique will greatly ease the maintenance and validation of the FACC database.
(Previous modification approved by WP at June 1998 meeting: Remove nonexistent feature BB061 reference).",,,,,,,,,,,,,,
"BB012","Anchor Berth","A designated area of water where a single vessel, sea plane, oil rig, etc. is anchored or may anchor.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB019","Anchor","Device normally placed on the sea bottom and attached to a cable or rope used to position a vessel, boat, or any other floating structure.",,,,,,,,,,,"B","BB",1998/06/24 0:00:00,0,"IT",,"2.0A","Version 2.0 Amendment 1: Replaced old definition","Replace ""An anchor is a heavy forging usually comprising a shank with a large shackle or ring at one end and two arms, with palms at the other.  Shaped as to grip the sea bottom, and by means of a cable or rope, it holds a vessel, boat, or any other floating structure in place."" with ""Device normally placed on the sea bottom and attached to a cable or rope used to position a vessel, boat, or any other floating structure.""  This is to make the definition S-57 compliant.","US agrees with this proposal.  If rejected, then US recommends the addition of BB018.",,,,,,,,,,,,,
"BB020","Berth ","The place where a ship lies when secured to a pier, wharf, dolphin(s) or dock.  It may be a designated place away from the coast line.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB021","Mooring Trot","Complex feature with possible components: BB019, BC098.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB022","Basin","An enclosure containing water for a dock for ships.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB030","Bollard","A post on a wharf used for fastening mooring lines.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB040","Breakwater/Groyne","A structure which protects a harbor or beach from forces of the sea.  (See also BB140)",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB041","Breakwater","A structure which protects a shore area, harbor, anchorage, or basin from sea waves or swells by preventing them from reaching the protected area or reducing their magnitude.  (See also BB140 and BB042)",,,,,,,,,,,"B","BB",1998/06/24 0:00:00,0,"US",,"2.0A",,"Breakout of the Breakwater/Groin dual feature (BB040) into two features Breakwater (BB041) and Groin (BB043) to match the similar features Mole (BB042) and Jetty (BB140) which have already been broken out.  This is also partly in response to the addition or modification required for mapping IHO S-57 to FACC.","Definition needs to be massaged to differentiate a groin from a breakwater. BE 
Agree Buckley US
Groins are normally constructed perpendicular to a beach, not a harbor or anchorage. They are intended to preserve the beach by preventing the longshore movement of sediments by disrupting the longshore transport mechanisms.  
A breakwater normally is constructed parallel to or at a low angle to the coastline and is intended to protect a harbor or anchorage from waves, wind, and high seas.  Effects on sediment transport are only an incidental side effect which may or may not be deliberate.  Buckley US
IT concurs, keep BB040 for backward compatibility.",,,,,,,,,,,,,
"BB042","Mole","A loading and discharge place for vessels.  It is usually a substantial masonry structure, and often serves as a breakwater on its outer side while offering facilities for ships in its inner side.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB043","Groin","A structure which normally projects outward from a shoreline and which protects a beach from erosion by disrupting  the longshore movement of sand and other sediments, not by preventing waves from reaching the shoreline.  (See also BB140 and BB041)",,,,,,,,,,,"B","BB",1998/06/24 0:00:00,0,"US",,"2.0A",,"Breakout of the Breakwater/Groin dual feature (BB040) into two features Breakwater (BB041) and Groin (BB043) to match the similar features Mole (BB042) and Jetty (BB140) which have already been broken out.  This is also partly in response to the addition or modification required for mapping IHO S-57 to FACC.","Definition needs to be massaged to differentiate a groin from a breakwater. BE 
Agree Buckley US
Groins are normally constructed perpendicular to a beach, not a harbor or anchorage. They are intended to preserve the beach by preventing the longshore movement of sediments by disrupting the longshore transport mechanisms.  
IT concurs, keep BB040 for backward compatibility.
A breakwater normally is constructed parallel to or at a low angle to the coastline and is intended to protect a harbor or anchorage from waves, wind, and high seas.  Effects on sediment transport are only an incidental side effect which may or may not be deliberate.  Buckley US",,,,,,,,,,,,,
"BB050","Calling-In Point ","A specified point some distance from the harbor at which a vessel's navigator notifies the harbor authority of his ship's position.  (Note that this is not the same as GA055 which is for aircraft only).",,,,,,,,,,,"B","BB",2000/08/07 0:00:00,0,"WP",,"2.1","Version 2.1: Removed feature name of GA055","Editorial",,,,,,,,,,,,,,
"BB079","Mooring/Warping Facility","A structure used for mooring/warping a ship or as protection for harbor constructions.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB080","Dolphin ","A post or group of posts used for mooring, warping a ship or as an aid to navigation.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB081","Shoreline Construction","A fixed (not afloat) artificial structure attached to the land. Shoreline constructions are normally used for berthing and protection.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB090","US-Drydock  UK-Dry Dock","A structure, providing support for a vessel, which has a means of removing water so that the bottom of the vessel can be exposed.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB100","US-Fish Stakes  UK-Fishing Stakes","Poles or stakes placed in shallow water to catch fish.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB105","US-Fishing Harbor  UK-Fishing Harbour","A harbor which is primarily used by fishing vessels.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB110","Fish Traps/Fish Weirs","A fence or enclosure set in water to catch fish.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB111","Tunny (Tuna) Nets Area","An area where nets used for catching tunny (tuna) may be found.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB115","US-Gridiron  UK-Gridiron/Careening Grid","A flat frame, usually of parallel timber baulks, erected on the foreshore so that a vessel may dry out on it for painting or repair at low water.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB140","US-Jetty  UK-Training Wall","A man-made barrier built out into, or in the water, primarily to restrain or direct currents and waves.  (See also AQ030 and BB040)",,,,,,,,,,,"B","BB",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Grammar change primary to primarily.
",,,,,,,,,,,,,,
"BB150","Landing Place ","A place on shore where landing from the sea is possible.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB151","Landing Stairs ","Steps at the shoreline as the connection between land and water on different levels.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB155","Maritime Station/Maritime Signal Station","A facility occupied by a governmental (maritime related) or harbor authority, providing specific services to vessels.  A signal station is a structure (building, tower, mast, etc.), which conveys information visually from station to ship.",,,,,,,,,,,"B","BB",1998/04/02 0:00:00,0,"US",,"2.0A",,,"Approved by FACC WP Dec 1997.",,,,,,,,,,,,,
"BB160","Mooring Ring","A metal ring attached to a structure and used to secure a vessel.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB170","US-Offshore Loading Facility  UK-Single Point Mooring","A facility located offshore for loading and unloading cargo.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB180","Oyster Bed/Mussel Bed","A place in shallow water where oysters and mussels breed and may be cultivated.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BB190","US-Pier/Wharf/Quay  UK-Pier/Wharf/Quay/Jetty","A structure primarily used as berthing places for vessels.",,,,,,,,,,,"B","BB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
