"ATT_CODE","DIGEST Status","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","ATT_NAME","ATT_DESCRIPTION","ATT_TYPE","ATT_FORMAT","ATT_LENGTH","MIN_VAL","MAX_VAL","Date of last change","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"CMS",0,,,,,,,,,,,"Commissioned Status","Indicates status of facilities which can be classed as commissioned or not commissioned and further by whether they are operational.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"CNS",0,,,,,,,,,,,"Controlled Status","Indicates whether a facility is controlled or not.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"COC",0,,,,,,,,,,,"Conspicuous Category","A conspicuous object is easily identifiable and plainly visible under varying conditions of light from harbors, approach channels, or offshore because of its size, shape, or height.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"COD",0,,,,,,,,,,,"Certainty of Delineation","Indicates knowledge of the feature's limits or information.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"COE",0,,,,,,,,,,,"Certainty of Existence","Indicates knowledge of the feature's existence.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"COF",0,,,,,,,,,,,"Complex Outline Function","The primary functional use of the area covered by an AL045 Complex Outline feature.  (See use and attribute values below.)","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Already included in FFD, DTOP, and LWD data sets being produced by or for US-NIMA.","GE: Yes",,,,,,,,,,
"COL",0,,,,,,,,,,,"Character of Light","Any identifier composed of the class, number and color(s) of flashes or occultations, of a light or lights at one geographic position [e.g. Q(6)+L F1, VQ G, L F1 (3+2)WR].","Text","Lexical",80,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CON",0,,,,,,,,,,,"Constriction Type","The type of a route constriction.","Coded","Short Integer",1,0.00,999.00,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","Created in order to harmonise FACC with EDCS and suggested by SEDRIS.  Based on ECDS: EA ROUTE_CONSTRICTION_TYPE and replaces CCA.",,,,,,,,,,,
"COS",0,,,,,,,,,,,"Continuity of Operation Status","Indicates whether a facility operated continuously or intermittently.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"COT",0,,,,,,,,,,,"Contour Type Category","Classifies the type of contour.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CPA",0,,,,,,,,,,,"Control Point Attribute","Type of control point.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"US",,"2.0A",,,"GE: Yes",,,,,,,,,,
"CRA",0,,,,,,,,,,,"Crane Type Category","Type of crane.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,"GE: Yes, but Is there any difference compared to CRA 003 Rotating ?
US: Rotating may not be tower and tower may not be rotating, also used as a vertical obstruction category.",,,,,,,,,,
"CRC",0,,,,,,,,,,,"Crossing Category","Shape attributed to the crossing of two or more lines of communication.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CRD",0,,,,,,,,,,,"Crown Diameter Size","The crown diameter of trees.","Numeric","Short Integer",1,,,2002/04/24 0:00:00,"US","FWP 08","2.2","New Attribute","MIGD Migration",,,,,,,,,,,
"CRM",0,,,,,,,,,,,"Crane Mobility Type","Indicates the mobility of a crane type.  (See CRA.)","Coded","Short Integer",1,0.00,999.00,1998/10/29 0:00:00,"US",,"2.0A",,"Breakout of Crane Type CRA coded attribute to resolve problem with mixed concepts.  Air obstruction data needs to use Fixed,. Floating and Traveling with CRA 0, 2, 3, and 99 at the same time.
",,,,,,,,,,,
"CRN",0,,,,,,,,,,,"Current Rate Minimum","Minimum speed of current.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CRS",0,,,,,,,,,,,"Current Rate (Speed)","Current speed in knots.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CRT",0,1,,1,,,1,1,1,1,,"Crater Type","Defines the type of a crater DB185.","Coded","Short Integer",1,,,2003/04/24 0:00:00,"US","2003-10-17","2.2","New Attribute","Requested by US  in order to capture craters for TLMs used by the Iceland Defense Forces.",,,,,,,,,,,
"CRV",0,,,,,,,,,,,"Depth Curve or Contour Value","A specified value assigned to a particular depth curve or contour.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CRX",0,,,,,,,,,,,"Current Rate Maximum","Maximum speed of current.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CSC",0,,,,,,,,,,,"Crossing Control Category","Defines the method of traffic control for a road crossing.","Coded","Short Integer",1,0.00,999.00,1998/09/17 0:00:00,"US",,"2.0A",,"Modification Required to Name: Need to change because it is the same as CRC. I added the word ""Control"" to Name.  Doesn't affect the Values.
(Old Justification for adding: Required by UVMAP and Cities Database.  Required to identify method of traffic control for a crossing to support traffic analysis in and around populated areas.)
Need to change the name since it is the same as CRC. Buckley NIMA/IPS",,,,,,,,,,,
"CSD",0,,,,,,,,,,,"Crane Support Distance","The longest distance between the supports for a gantry/bridge crane (CRA002).","Numeric","Short Integer",1,,,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"CSM",0,,,,,,,,,,,"Secondary Material Characteristics","Characteristics of secondary material composition of feature.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CTC",0,,,,,,,,,,,"Culvert Type Category","Divides culverts into various categories, of which the two main ones are regular culverts and box culverts, either of which can be earth back-filled.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"US",,"2.0A",,"Required for terrain analysis and DTOP.  The differentiation between box culverts and bridges is made based on the size of the culvert and the presence or absence of earth back-filling.  To prevent classifying circular or oval culverts or back-filled culverts which exceed the bridge threshold  as bridges, they must be separated from box culverts which are not earth back-filled.
",,,,,,,,,,,
"CTL",0,,,,,,,,,,,"Cumulative Track Length","Total cumulative length of track contained within confines of the feature, exclusive of the branch or main trunk lines running into and/or out of the feature.","Numeric","Long Integer",1,,,1998/04/02 0:00:00,"US",,"2.0A",,"Change to Long integer.  There are cases now of RR Yards with track lengths longer than 32Km.  Required for transportation analysis and DTOP.","US proposal.  
UK do not concur, this is a fundamental change.  This attribute is used in TLD.  UK suggest the creation of a new attribute for greater lengths in order to maintain backwards compatibility.  Note that the Long Integer should not have a range.
US - Changing to long integer will have no effect on existing short integer data. UK Concurred after off line discussion.
(Changed from Short Integer to Long Integer)",,,,,,,,,,
"CUR",0,,,,,,,,,,,"Current Type Category","The horizontal movement of a body of water.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"US",,"2.0A",,,,,,,,,,,,,
"CVH",0,,,,,,,,,,,"Depth Curve or Contour Value High","The maximum value of a depth curve polygon.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"CVL",0,,,,,,,,,,,"Depth Curve or Contour Value Low","The minimum value of a depth curve polygon.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D60",0,,,,,,,,,,,"Direction of Current (IHO)","Direction of current flow at tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D61",0,,,,,,,,,,,"Direction of Current (1) (IHO)","Direction of current flow 1 hour after tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D62",0,,,,,,,,,,,"Direction of Current (2) (IHO)","Direction of current flow 2 hours after tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D63",0,,,,,,,,,,,"Direction of Current (3) (IHO)","Direction of current flow 3 hours after tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D64",0,,,,,,,,,,,"Direction of Current (4) (IHO)","Direction of current flow 4 hours after tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D65",0,,,,,,,,,,,"Direction of Current (5) (IHO)","Direction of current flow 5 hours after tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D66",0,,,,,,,,,,,"Direction of Current (6) (IHO)","Direction of current flow 6 hours after tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D67",0,,,,,,,,,,,"Direction of Current (7) (IHO)","Direction of current flow 5 hours before tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D68",0,,,,,,,,,,,"Direction of Current (8) (IHO)","Direction of current flow 4 hours before tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D69",0,,,,,,,,,,,"Direction of Current (9) (IHO)","Direction of current flow 3 hours before tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D70",0,,,,,,,,,,,"Direction of Current (10) (IHO)","Direction of current flow 2 hours before tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D71",0,,,,,,,,,,,"Direction of Current (11) (IHO)","Direction of current flow 1 hour before tide reference level.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"D80",0,,,,,,,,,,,"Direction of Current","Direction of current flow at high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D81",0,,,,,,,,,,,"Direction of Current (1)","Direction of current flow 1 hour after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D82",0,,,,,,,,,,,"Direction of Current (2)","Direction of current flow 2 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D83",0,,,,,,,,,,,"Direction of Current (3)","Direction of current flow 3 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D84",0,,,,,,,,,,,"Direction of Current (4)","Direction of current flow 4 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D85",0,,,,,,,,,,,"Direction of Current (5)","Direction of current flow 5 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D86",0,,,,,,,,,,,"Direction of Current (6)","Direction of current flow 6 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D87",0,,,,,,,,,,,"Direction of Current (7)","Direction of current flow 7 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D88",0,,,,,,,,,,,"Direction of Current (8)","Direction of current flow 8 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D89",0,,,,,,,,,,,"Direction of Current (9)","Direction of current flow 9 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D90",0,,,,,,,,,,,"Direction of Current (10)","Direction of current flow 10 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"D91",0,,,,,,,,,,,"Direction of Current (11)","Direction of current flow 11 hours after high water.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DAN",0,,,,,,,,,,,"Description of Aids to Navigation","Textual description of aids to navigation marking a feature, e.g.. ""Marked by buoys"".","Text","Lexical",256,,,1998/06/24 0:00:00,"US",,"2.0A",,"Add quotes around Marked by buoys.  Buckley NIMA/IPS",,,,,,,,,,,
"DCR",0,,,,,,,,,,,"Draft Correction Indicator","Indicates if draft correction has been applied.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"DDC",0,,,,,,,,,,,"Dwelling(s) Category","Encodes facilities or buildings which are used as permanent or long term human dwelling places.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes (see BFC above)",,,,,,,,,,
"DDM",0,,,,,,,,,,,"Draft Dimension","The  correction to the depth measurement measured from the hull-mounted transducer to the water surface.   The depth measurement is normally taken from the transducer to the ocean floor. The draft correction brings that measurement to the water surface.","Numeric","Short Integer",1,,,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: No, that is incomprehensible (name/definition)
US: Agree, original FACS was Draft Dimension with this definition.  Revised the definition.",,,,,,,,,,
"DEP",0,,,,,,,,,,,"Depth Below Surface Level","Distance measured from the highest point at surface level to the lowest point of the feature below the surface. Recorded values are positive numbers.","Numeric","Floating Point",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DF1",0,,,,,,,,,,,"Direction of Traffic - 1","Direction of traffic, first occurrence.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DF2",0,,,,,,,,,,,"Direction of Traffic - 2","Direction of traffic, second occurrence.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DF3",0,,,,,,,,,,,"Direction of Traffic - 3","Direction of traffic, third occurrence.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DF4",0,,,,,,,,,,,"Direction of Traffic - 4","Direction of traffic, fourth occurrence.","Numeric","Short Integer",1,0.00,359.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DFT",0,,,,,,,,,,,"Dam Face Type","Type of face of a dam.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"US",,"2.0A",,"Required to distinguish between types of dam faces.  This is a requirement of all topographic products and has significance for topographic symbolization and radar reflectance.",,,,,,,,,,,
"DGC",0,,,,,,,,,,,"Drop Gate Category","Distinguishes between two drop gate types.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"US",,"2.0A",,"Required for terrain analysis to distinguish between the types of drop gates used in mobility barriers.
",,,,,,,,,,,
"DHW",0,,,,,,,,,,,"Depth at Mean High Water","Depth of Water at Mean High Water (MHW)","Numeric","Floating Point",1,,,2002/04/23 0:00:00,"GE","FWP 08","2.2","New Attribute","MIGD Migration",,,,,,,,,,,
"DIP",0,,,,,,,,,,,"Direction Prefix (West Maple Ave.)","A directional prefix normally associated with a street name, i.e. North Main Street.","Coded","Short Integer",1,0.00,999.00,2001/07/16 10:50:48,"US","FWP 10","2.2","New Attribute","Attribute cited in EUVMAP Specification but not in FACC 2.1 or earlier.","GE:  No, there is no definition (and that of DRS is not so clear).  Is there any difference between DIP and DRS?
US:  Added definition and modified that of DRS to clarify.  In US we use directionals in one of two manners, either as a prefix, or as a suffix, or sometimes both (North First St. NW) The first North refers to the specific segment of the road, the second NW refers to the quadrant of the city in which it is located.",,,,,,,,,,
"DIR",0,,,,,,,,,,,"Directivity","The side or sides of a feature which produces the greatest reflectivity potential.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,"GE: Yes",,,,,,,,,,
"DKC",0,,,,,,,,,,,"Depth Knowledge Category","Categorization of Depths.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of LOC",,,,,,,,,,,
"DLW",0,,,,,,,,,,,"Depth at Mean Low Water","Depth of water at Mean Low Water (MLW)","Numeric","Floating Point",1,,,2002/04/23 0:00:00,"GE","FWP 08","2.2","New Attribute","MIGD Migration",,,,,,,,,,,
"DMB",0,,,,,,,,,,,"Density Measure (Brush/Undergrowth)","Actual percent (%) of ground covered by undergrowth.","Numeric","Short Integer",1,0.00,100.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DMC",0,,,,,,,,,,,"Boundary Demarcation Code","Indicates whether a boundary is demarcated.","Coded","Short Integer",1,0.00,999.00,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","For several years producing and collecting agencies have had problems adquately classifying boundary information within a FACC based geospatial environment without error, confusion or loss.  This proposed attribute was a result of a study by the US (NIMA and Dept of State) with representation from the UK {Foreign Office}.",,,,,,,,,,,
"DMF",0,,,,,,,,,,,"Density Measure (Feature Count)","Indicates the number of features of this type within an area.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DMK",0,,,,,,,,,,,"Density Measure (% of Kelp Cover)","Concentration of kelp weed in the sea, measured in percent coverage within area of feature.","Numeric","Short Integer",1,0.00,100.00,1998/04/02 0:00:00,"US",,"2.0A",,"Required for Littoral Warfare Data.
",,,,,,,,,,,
"DMR",0,,,,,,,,,,,"Density Measure (% of Roof Cover)","Roof cover measured by percent within area of feature.","Numeric","Short Integer",1,0.00,100.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DMS",0,,,,,,,,,,,"Density Measure (Structure Count)","Density of structures within a square kilometer (1000m x 1000m).","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DMT",0,,,,,,,,,,,"Density Measure (% of Tree/Canopy Cover)","Canopy cover measured by percent within area of feature during the summer season.","Numeric","Short Integer",1,0.00,100.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DMW",0,,,,,,,,,,,"Depth at Mean Water","Depth of Water at Mean Water (MW)","Numeric","Floating Point",1,,,2002/04/24 0:00:00,"GE","FWP 08","2.2","New Attribute","MIGD Migration",,,,,,,,,,,
"DOF",0,,,,,,,,,,,"Direction of Flow","Bearing of movement or direction of the flow.","Numeric","Short Integer",1,0.00,359.00,1998/04/02 0:00:00,"WP",,"2.0A",,,,,,,,,,,,,
"DOM",0,1,,1,,,1,1,1,1,,"Mine Activity Duration","Specifies the length of time that the mines in a minefield remain active.","Numeric","Short Integer",1,,,2003/04/08 0:00:00,"US","2003-10-21","2.2","New Attribute","US has a requirement to incorporate minefields into Mission Specific Data.",,"Change name to ""Active Explosive Mine Life""",,"Change “mines"" to “explosive mines”",,,"I think there is a mismatch between the attribute name and its specified datatype.
Modification option #1 : change attribute name in ""Duration of mine"" and keep specified datatype unchanged.
Modification option #2 : keep attributename unchanged and change datatype to a  ""category"" enumeration.
Remark : Only recording the ""duration of mines"" is in my point of view not sufficient, you need something like ""activation date"" as well.
Suggestion: Wouldn't it be better that in lieu of this proposal we create an attribute  which records the point of time when the mine deactivates.",,"Change Attribute name to ”Duration of mines”","add explosives and „Duration of mines“",
"DP1",0,,,,,,,,,,,"Highest level of groundwater","Highest annual average level of ground water.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DP2",0,,,,,,,,,,,"Lowest level of groundwater","Lowest annual average level of ground water.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DQD",0,,,,,,,,,,,"Data Quality Description","Contains a text string describing specific conditions occurring within a coverage at the location identified by the dq feature.  Typically this refers to edgematch problems observed between two source maps and identifies any steps taken to ameliorate the problem.","Text","ASCII Text",255,,,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","Port of the attribute dqdescr used in many VPF products to a FACC attribute.","GE: ???       “Still thinking“",,,,,,,,,,
"DR1",0,,,,,,,,,,,"Depth Range Value 1","Minimum value of a depth range.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DR2",0,,,,,,,,,,,"Depth Range Value 2","Maximum value of a depth range.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DR3",0,,,,,,,,,,,"Depth Range With greater than 1 meter resolution - Value 1","Minimum value of a depth range.","Numeric","Floating Point",1,,,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"DR4",0,,,,,,,,,,,"Depth Range With greater than 1 meter resolution - Value 2","Maximum value of a depth range.","Numeric","Floating Point",1,,,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.
",,,,,,,,,,,
"DRN",0,,,,,,,,,,,"Depth Recorder Name","Name/Type of device used to record depths.","Text","ASCII Text",80,,,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"DRP",0,,,,,,,,,,,"Description of Reference Point","Description of the feature(s) which form a Leading Line or Clearing Line.","Text","Lexical",256,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DRS",0,,,,,,,,,,,"Direction Suffix (Maple Ave. West)","A directional suffix normally associated with a street name, i.e. Massachusetts. Ave. NW.","Coded","Short Integer",1,0.00,999.00,2001/07/16 10:56:30,"US","FWP 10","2.2","New Attribute","Attribute cited in UVMAP Specification but not in FACC 2.1 or earlier.","GE:  No, there is no definition (and that of DRS is not so clear).  Is there any difference between DIP and DRS?
US:  Added definition and modified that of DRS to clarify.  In US we use directionals in one of two manners, either as a prefix, or as a suffix, or sometimes both (North First St. NW) The first North refers to the specific segment of the road, the second NW refers to the quadrant of the city in which it is located.",,,,,,,,,,
"DRT",0,,,,,,,,,,,"Dredge Type","Classification of type of dredge.","Coded","Short Integer",1,0.00,999.00,2002/04/24 0:00:00,"GE","FWP 08","2.2","New Attribute","MIGD Migration",,,,,,,,,,,
"DRW",0,,,,,,,,,,,"Density of Woody Vegetation Range","Range indicating percentage of total ground surface covered by Trees (EC030) and Scrub Brush (EB015) within delineated area of feature.","Coded","Short Integer",1,0.00,999.00,1998/06/24 0:00:00,"US",,"2.0A",,,,,,,,,,,,,
"DSP",0,,,,,,,,,,,"Boundary Dispute Status","Indicates whether or not a boundary is in dispute.","Coded","Short Integer",1,0.00,999.00,2003/05/01 0:00:00,"US","30April 2003","2.2","New Attribute","For several years producing and collecting agencies have had problems adquately classifying boundary information within a FACC based geospatial environment without error, confusion or loss.  This proposed attribute was a result of a study by the US (NIMA and Dept of State) with representation from the UK {Foreign Office}.  Also this proposed attribute is part of the breakout of multiconcept attributes.",,,,,,,,,,,
"DTE",0,,,,,,,,,,,"Date End","Latest date on which an object (e.g. a buoy) will be present.  Coded YYYYMMDD.","Date","ASCII Text",8,,,1998/06/24 0:00:00,"CA",,"2.0A",,"Required for mapping S-57 to FACC.
",,,,,,,,,,,
"DTF",0,,,,,,,,,,,"Displaced Threshold Distance in Feet","The distance in feet from the runway end to that point of the runway usable for landing.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"DTM",0,,,,,,,,,,,"Displaced Threshold Distance in Metres","The distance in meters from the runway end to that point of the runway usable for landing.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
"DTS",0,,,,,,,,,,,"Date Start","Earliest date on which an object (e.g. a buoy) will be present.  Coded YYYYMMDD.","Date","ASCII Text",8,,,1998/06/24 0:00:00,"US",,"2.0A",,"Required for mapping S-57 to FACC.
",,,,,,,,,,,
"DW1",0,,,,,,,,,,,"Depth of Water (1)","Predominant water depth within delineation of feature, determined in meters at the greatest depth along a cross section of the feature (First Range).","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DW2",0,,,,,,,,,,,"Depth of Water (2)","Predominant water depth within delineation of feature, determined in meters at the greatest depth along a cross section of the feature (Second Range).","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"DWT",0,,,,,,,,,,,"Dam or Weir Type","Used to differentiate whether a BI020 Dam/Weir is a Dam or a Weir.","Coded","Short Integer",1,0.00,999.00,1999/05/20 0:00:00,"US",,"2.1","Version 2.1: New Attribute to permit mapping of S-57 object DAMCON which includes both dams and weirs as well as nautical gates.","Needed to differentiate S-57 Dam (DAMCON) which includes both dams and weirs as well as nautical gates.
UK: YES
GE: YES
IT: YES","UK: YES
GE: YES
IT: YES",,,,,,,,,,
"E01",0,,,,,,,,,,,"Number Of Fuel Fill Stands","The number of fill stands used for the fuel to transfer fuel from storage tanks into trucks.","Numeric","Short Integer",1,,,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"EBT",0,,,,,,,,,,,"Educational Building Type","Identifies the type of educational building.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"WP",,"2.0A",,"Grammar.",,,,,,,,,,,
"EDP",0,,,,,,,,,,,"Electronic Depth","Depth of water obtained by electronic depth measuring instruments.","Numeric","Short Integer",1,0.00,32767.00,1998/04/02 0:00:00,"US",,"2.0A",,"Required for Littoral Warfare Data and DNC.
",,,,,,,,,,,
"EHF",0,,,,,,,,,,,"Ellipsoid Height in Feet – High End","Elevation above the ellipsoid at the highest end of the runway.","Numeric","Floating Point",1,,,2000/08/07 0:00:00,"US",,"2.1","Version 2.1: New Attribute","Airfield Initiative Requirement",,,,,,,,,,,
